dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_50,rbf,100,1000,,1000,0.474721159087494,0.5493933130055666,49.6863903850317
pca_50,rbf,1000,0.001,,1000,0.47602341906167567,0.5503052661661059,9.974080840824172
pca_50,rbf,1000,0.01,,1000,0.47603830974549055,0.5667793380562216,35.434888936113566
pca_50,rbf,1000,0.1,,1000,0.4746644829865545,0.5644613648764789,54.14806171017699
pca_50,rbf,1000,1,,1000,0.5094956422690302,0.5510820019990206,68.0031906159129
pca_50,rbf,1000,10,,1000,0.47445824183523655,0.5493059379514307,56.64498246787116
pca_50,rbf,1000,100,,1000,0.4766818410716951,0.550018654903397,55.79618521290831
pca_50,rbf,1000,1000,,1000,0.477495881030336,0.5489848731085658,55.861906765028834
pca_100,rbf,0.001,0.001,,1000,0.509663422126323,0.7131902908440679,105.43839165009558
pca_100,rbf,0.001,0.01,,1000,0.48540678806602955,0.7124405100475997,103.16513930214569
pca_100,rbf,0.001,0.1,,1000,0.5161214212421328,0.7134443330578506,106.31481033284217
pca_100,rbf,0.001,1,,1000,0.5133512290194631,0.713845627149567,119.44618393993005
pca_100,rbf,0.001,10,,1000,0.47547121392562985,0.7125082919374108,104.7822473871056
pca_100,rbf,0.001,100,,1000,0.47620339202694595,0.7095747999846935,107.03522674692795
pca_100,rbf,0.001,1000,,1000,0.47572527593001723,0.7156934409867972,104.6538877680432
pca_100,rbf,0.01,0.001,,1000,0.47492590290494263,0.7116004249546677,103.87007154989988
pca_100,rbf,0.01,0.01,,1000,0.5112916871439666,0.7154392481315881,104.58270632685162
pca_100,rbf,0.01,0.1,,1000,0.5156932582613081,0.7195091319736093,103.71436988306232
pca_100,rbf,0.01,1,,1000,0.514933061785996,0.7158506317064166,120.5385130380746
pca_100,rbf,0.01,10,,1000,0.4756178550887853,0.7123966291546822,104.93255446106195
pca_100,rbf,0.01,100,,1000,0.4756427800748497,0.7138176986481994,108.0722316710744
pca_100,rbf,0.01,1000,,1000,0.4757706639356911,0.7137894711922854,104.52744847210124
pca_100,rbf,0.1,0.001,,1000,0.4764026098418981,0.7104065949097276,82.16108590899967
