dim reducer,kernel,C,gamma,degree,num iterations,scale time,dim reduce time,fit time
pca_200,rbf,0.01,0.01,,1000,0.48533598193898797,0.8500242561567575,145.26914350804873
pca_200,rbf,0.01,0.1,,1000,0.48380046617239714,0.8570788288488984,146.04976277891546
pca_200,rbf,0.01,1,,1000,0.4843400758691132,0.8474692387972027,159.20724581903778
pca_200,rbf,0.01,10,,1000,0.4843536647967994,0.8502999669872224,147.74515565903857
pca_200,rbf,0.01,100,,1000,0.4836221728473902,0.8549381252378225,147.71817362192087
pca_200,rbf,0.01,1000,,1000,0.48491532797925174,0.8445880399085581,147.58467748505063
pca_200,rbf,0.1,0.001,,1000,0.4831629442051053,0.8501674567814916,84.61677319300361
pca_200,rbf,0.1,0.01,,1000,0.4835352450609207,0.8524752650409937,145.27472282201052
pca_200,rbf,0.1,0.1,,1000,0.48374984599649906,0.8500893649179488,146.04880040395074
pca_200,rbf,0.1,1,,1000,0.48482359177432954,0.845234818989411,159.46794345602393
pca_200,rbf,0.1,10,,1000,0.48404839914292097,0.8553567379713058,147.82499323715456
pca_200,rbf,0.1,100,,1000,0.4837627832312137,0.8173612689133734,147.8464822419919
pca_200,rbf,0.1,1000,,1000,0.4832666728179902,0.8474270361475646,147.54791078693233
pca_200,rbf,1,0.001,,1000,0.4870403818786144,0.8498104140162468,57.89145305217244
pca_200,rbf,1,0.01,,1000,0.48679593694396317,0.86436059884727,127.30297544808127
pca_200,rbf,1,0.1,,1000,0.4833121467381716,0.850580353057012,145.43716370710172
pca_200,rbf,1,1,,1000,0.48297372995875776,0.8200114220380783,159.04755433788523
pca_200,rbf,1,10,,1000,0.48474226403050125,0.8184889210388064,147.63695082301274
pca_200,rbf,1,100,,1000,0.48628291208297014,0.8247867720201612,147.48044601082802
pca_200,rbf,1,1000,,1000,0.4851741672027856,0.8156374229583889,147.61232652701437
pca_200,rbf,10,0.001,,1000,0.4850652739405632,0.8435120438225567,45.42027991893701
pca_200,rbf,10,0.01,,1000,0.48438407108187675,0.8670766558498144,126.14388598687947
